PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatu
2247,Hellmer,Ignaz,,,,,"... eine Verbesserung auf Erzeugung von Wachsstöcke, Wachs, Wachsplatirte und Spermacetti
Kerzen, mittelst der von ihm erfundenen ... Maschine ...","Wachsstock, Walrat,
Kerzengießapparate",Wien,1836,10.05.1836
2248,Schmid,Anton,,,,,"Neuer Dampf-Apparat mit gespannten Dämpfen Flüssigkeiten bey einem continuirenden Zufluß
abzudämpfen",Verdampfapparat,Wien,1836,15.04.1836
2249,Storm,Franz,,,,,"Die Verbesserung besteht darin, Knöpfe aller Arten ... mit jeden edlen oder unedlen Metalle aller
Manufacturstoffe ... ohne Nähen durch Maschinen ... durch ... Schnellpresse zu überziehen","Stoff, Knopf, Presse",Wien,1836,30.05.1836
2250,Rigel,Antonius Pius,,,,,"Beschreibung des neu erfundenen Dampfmaschin, Antivibral-Flugrads genannt",Dampfturbine,Wien,1836,22.07.1836
2251,Angeli,Johann Karl v.,,,,,Beschreibung des neuerfundenen Verfahrens in der Fabrication der Wachskerzen und Wachszüge,"Wachsstock, Kerze",Nürnberg,1836,16.09.1836
2252,Odlicek,Johann,,,,,"Beschreibung der ... Verbesserung der Kleidungsstücke bestehend darin, daß er an den
Kleidungsstücken für Köpfe und Knopflöcher, dann Sackecken statt der üblichen Unterlagen
(Steifleinwand) einen festen elastischen Stoff (Gummiband) anwendet, ...","Kleidung, Schneiderei, Knopfloch,
Gummiband",Wien,1836,03.10.1836
2253,Hibler,Ignaz,Meissner,Ignaz,,,"Beschreibung der ... Erfindung, ..., daß der von ihnen zu Stande gebrachte Apparat zur Haus- und
Kutschen-Beleuchtung, überhaupt für jede Art beweglicher Lampen ... anwendbar ist, ...","Lampe, Laterne, Wagenlaterne",Wien,1836,19.07.1836
2254,Schopp,August,,,,,"Beschreibung der Metallhoboe, und ihrer Bestandtheile",Oboe,Wien,1836,14.10.1836
2255,Butula,Franz,Schramek,Johann,,,"Beschreibung der Verbesserung, daß a) die Brandsohle, Afterleder und Ueberstem aus einem
Ledertheile, daher ohne Naht bestehe, b) daß auf solche Art die Füsse weniger dem Drucke
desselben ausgesetzt sind","Schuh, Stiefel, Zuschneiden",Wien,1837,04.02.1837
2256,Zsitkowsky,Karl,,,,,"... zeigt hiermit gehorsamst an, eine neue Erfindung und Entdeckung eines Claviers in der Form
eines Querklaviers, welches, statt mit Drahtsaiten bespant, durch mechanische innere
Vorrichtungen auf Stahlfedern gespielt wird","Stahlfeder, Metallspiel",Wien,1837,28.05.1837
2257,Reitsamer,Jakob,,,,,"Gründliche Beschreibung des gesponnenen Viligran, aus welchem verschiedene Arbeiten
verfertiget werden können, als Florschnallen ... Haarnadelröserl, Vater unser zu Rosenkränzen,
Kreuze, verschiedene Einfassungen und dergleichen, und dieses mache ich aus Silber und Dompak
...","Silber, Messing, Filigran, Drahtgewebe",Wien,1834,15.12.1834
2258,Mayer,Vitus,,,,,"Erklärung der verbesserten Streckmaschine und Eindrucksregulierungsmaschine [beim
Kattundruck]","Zeugdruck, Streckmaschine,
Druckregulierung",Wien,1837,27.02.1837
2259,Kassel,Johann,,,,,Beschreibung der Erfindung einer ganz neuen Schnell-Zündmaschine,Feuerzeug,Wien,1831,15.10.1831
2260,Jurmann,Karl,,,,,"Beschreibung der ... Erfindung, ..., daß er MilitairDegen u. Säbel oder Staatsdegen verfertiget, an
welchen der Griff ... nicht wie in den gewöhnlichen aus gewundenen Draht oder Leder, sondern
aus gepreßtem Messing oder Stahl besteht, ...","Degengriff, Säbelgriff",Wien,1833,24.09.1833
2261,Richard,Karl,,,,,"Beschreibung der ... Verfahrungsart bei Anfertigung von plastisch architektonischen
Tafelaufsätzen und resp. Modelle, als Kirchen, Tempel, Paläste und sonstige Monumente,
wodurch der Gefertigte auf leichte Weise alle so Namen führende Paparbeiten, plastischer
Darstellung, ... anfertiget, ... und überdieß die Mauern mit einer von ihm erfundenen Stoffe, mit
Zusatz von Farbe ... überzieht, ...","Papiermachè, Gips, Alabaster,
Plastische Masse, Modellieren,
Anstrich",Wien,1837,21.09.1837
2262,Goldbacher,Anton,,,,,"Beschreibung der ... Verbesserung, ...: Unschlittkerzen mittelst eigends hierzu von ihm verfertigten
Formen zu gießen, ...","Unschlitt, Kerzengießapparat",Wien,1837,26.09.1837
2263,Hoppe,,Schmidbauer,Joseph,Stansfeld,,"Beschreibung der von Joseph Schmidbauer, Mechaniker im Schloße Haunkenzell und Bürger aus
München erfundenen hydrostatischen, hydraulischen, mechanischen Kraftmaschine und in
Gesellschaft der Herrn Stansfeld u. Hoppe unter der Firma Stansfeld Hoppe et Schmidbauer zur
Ausführung gebracht im Jahre 1836","Wassermotor, Getriebe",Wien,1836,01.08.1836
2264,Nentwich,Norbert,,,,,Beschreibung der ... Verbesserung in der Erzeugung der Seiden- und ähnlichen Knöpfe,"Seide, Stoff, Knopf, Presse",Wien,1838,21.02.1838
2265,Flebus,Jakob,,,,,"Beschreibung der ... Erfindung in der Erzeugung Luft- und Wasserdichter Filzfußteppiche, ...","Luftdicht(er) Filz, Wasserdicht(er) Filz,
Teppich, Farbendruck, Dessin",Wien,1837,11.12.1837
2266,Wertheimer,Salomon sel. Sohn,,,,,"Beschreibung der zur Verfertigung von inn- und ausländischem Zucker und Laugensalz
anzuwendenden Vorrichtungen, ...","Rübenschneider, Saturateur,
Siedeofen, Zucker, Soda",Wien,1836,27.09.1836
2267,Rahn,Heinrich,Spoerlin,Michael,,,Wesentliches Princip der Iris Druckerey,"Irisdruck, Farbwalze",Wien,1823,09.10.1823
2268,Schlick,Franz,,,,,"Richtige Abildung und Zergliederung der Tüll Anglais Maschine ist gezeichnet und selbst
bearbeitet worden von Franz Schlick","Tüll, Spitzen, Bobinetmaschine",Wien,1829,31.03.1829
2269,Brey,Gaetano,,,,,"Descrizione della nuova Scoperta che ... consiste in Sostanza nella formazione di un nuovo gas
illuminatori tratto dall'acqua ... [Leuchtgas]","Leuchtgas, Gasbeleuchtung",Milano,1834,02.02.1834
2270,Molanus,,,,,,"dem Nahmen Gas perfectione, oder Gas Seligue & Compagnie als vervollkommnetes Gas zur","Leuchtgas, Gasbeleuchtung, Lampe",Wien,1834,
2271,Ofenheim,Anton Rainer,,,,,"Beschreibung aller neuen Verfahrungs Arten, Erfindungen und Verbesserungn, in Betreff des
vervollkommneten Gases, worauf die k.k.ausschließend privilegirte Unternehmung zur
Beleuchtung mit vervollkommnetem Gase, repraesentirt durch Herrn Anton Rainer Ofenheim,
Mitglied d.k.k.Landwirtschafts Gesellschaft, ..., ein neuerliches drittes Privilegium angesucht hat","Leuchtgas, Gasbeleuchtung",Wien,1835,15.06.1835
2272,Ofenheim,Anton Rainer,,,,,"Beschreibung und 5 Zeichnungen der von der k.k. ausschließend priv. Unternehmung zur
Beleuchtung mit vervollkommnetem Gase angeführten Privilegien ...","Leuchtgas, Gastransport, Wagen",Wien,1835,15.10.1835
2273,Streicher,Johann Baptist,,,,,"Beschreibung der ... Erfindung, ...: 1. Bei einem Pianoforte durch eine umgekehrte Mechanik,
wobey die Hämmer von Oben auf die Saiten schlagen ...",Klavier,Wien,1823,16.07.1823
2274,Mueller,Mathias,,,,,"Beschreibung der ... Erfindungen mechanischer KlavierInstrumente, ...",Klavier,Wien,1823,26.10.1823
2276,Hoffmann,Franz Rudolf,Mayer,Karl,,,"Beschreibung des zu erwirkenden ausschließenden Privilegiums zur Verbeßerung der Federkiel-
Zurichtung",Schreibfeder,Wien,1832,03.03.1832
2277,Guibont,Augustin Franz,,,,,"Beschreibung der ... Erfindung, ..., daß man aus der erfundenen neuen Art von Schießgewehren,
genannt l'arme Robert, ohne Schloß und Ladstock, jedoch mit einer besonderen Vorrichtung,
wozu eigends erfundene Zündstöckchen gehören, fünfmal ... in einer Minute schießen kann [Text
frz.]","Gewehr, Bajonett",Wien,1833,22.04.1833
2278,Mastalier,Anton,,,,,"Beschreibung der ... Erfindung ... daß er zur Erzeugung der, zu der wachsplattirten Kerzen nöthigen
Wachshülse eine Maschiene erfunden habe, selbe aus kalten Wachs zu erzeugen, ohne denselben
eine besondere Form zu geben","Wachs, Plattieren, Kerze, Presse",Wien,1833,07.08.1833
2279,Huber,Simon,,,,,"Nachtrags-Beschreibung: Meine unterm 29.11.d.J. eingelegte Beschreibung bezieht sich auf 2
Gegenstände, nämlich 1. auf ein Verfahren das Brennöhl auf eine ergiebigere Weise aus den
öhlgebenten Samen zu gewinnen und 2. auf eine ganz neue Erzeugungsmethode aus den Samen
der Oehlpflanzen mehrere Seifen-Gattungen zu produzieren","Oel, Seife",Wien,1833,10.12.1833
2280,Reichenau,Johann Georg v.,Reichenau,Matthaeus v.,,,Neue Methode zur Sensen und Strohmesser Erzeugung,"Sense, Strohmesser, Sichel, Glühofen","Waydhofen/Ybb
s",1834,05.02.1834
2281,Marchand,Alexander,,,,,"Beschreibung des Plans hinsichtlich eines neuen Systems über eine Eisenbahne, welcher ich den
Namen einer beweglichen Eisenbahn beigelegt habe","Wagen, Raupenfahrzueg, Karren",Wien,1836,17.06.1836
2282,Bird,Thomas O. Moore,,,,,"Beschreibung der von Thomas O. Moore Bird gemachten Verbesserung eines Gas Erzeugungs
Apparates","Kohlensäureapparat, Abfüllapparat,
Mischmaschine",Wien,1837,20.02.1837
2283,Boehm,Joseph,,,,,"Beschreibung einer Erfindung, ..., bei jedem Klavier eine Pedalklaviatur anzubringen, ...","Klavier, Pedal",Wien,1837,27.06.1837
2284,Flachnecker,Joseph,,,,,"Beschreibung der ... Erfindung, ..., alle bisher mit Roß- oder Kuhhaar oder Moos zu tapezierenden
Meubles und sonstige Gegenstände mit, vom harten Holze erzeugten, Hobelspännen zu polstern","Hobelspäne, Polstermöbel",Wien,1838,24.03.1838
2285,Martin,Peter,,,,,"Beschreibung der ... Verbesserung ...: Elastische Armbänder /:bracelets:/ und Leibbinden von Gold,
Silber, Bronze und dergleichen, glatt, graviert fazonirt, mit oder ohne Edelstein ... zu verfertigen ...","Armband, Leibbinde",Wien,1838,25.06.1838
2286,Brix,Anton,,,,,"Beschreibung zweyer ... neu erfundener Schneepflüge zur Reinigung der Strassen vom Schnee,
und b. für Eisenbahnen, ...","Straßenreinigung, Schneepflug,
Geleisesäuberung",Kleinmünchen,1837,08.11.1837
2287,Siebert,Friedrich,Siebert,Johann Friedrich,,,"Meine neue Erfindung mit Chinilin Figuren, ohne einen Juaqart oder sonstigen Maschiene, auf den
glatten Weberstuhl zu erzeigen, ...","Chenille, Webstuhl",Wien,1838,27.08.1838
2288,Miesbach,Alois,,,,,Beschreibung der Ziegelstein (Mauerstein) Maschiene,Ziegelmaschine,Wien,1835,28.07.1835
2289,Dostal,Joseph,,,,,"Drei Stück Zeichnungen der ... Erfindung zweyer Maschienen, ..., daß mittelst der einen Maschiene
aus kalten flachen eisernen Schienen nach Belieben ... winkelrechte Stiften in Keilform ...
abgeschnitten werden, ... und daß mittelst der anderen Maschiene diese Stiften ... in einen
quadratischen Spitz /: Behufs Erzeugung zweilappiger ... nägel ...:/ verwandelt werden","Nagel, Schneidemaschine",Wien,1838,13.01.1838
2290,Flebus,Jakob,,,,,"Beschreibung der ... Erfindung und Verbesserung ...: Jede Sorte gewebten und gewirkten aus Seide
Garn, Baum u. Schafwolle, oder aus thierischen Haaren bestehenden Erzeugnissen, wie auch mit
Anwendung eines eigenen erbauten Ofen, ... zu lakiren, daß die hieraus gefertigten Hüte, Czako,
Stiefel Schuhe Kappen etc. etc. ... alle bisher betehenden Fabrikate übertreffen ...","Filz, Imprägnierung/Filz, Hut, Tschako,
Kappe, Schuhe",Wien,1838,16.08.1838
2291,Meissl,Philipp,,,,,"Fernere Detailierung der Beschreibung der neuen Verbesserung die Filzhüte zu steiffen und zu
plattieren",Hut,Wien,1838,19.02.1838
2292,Helbig,Friedrich,,,,,Beschreibung der ... entdeckten Schnelldruckpressen ...,Schnelldruckpresse,Wien,1830,12.06.1830
2293,Drostik,Thomas,,,,,"Beschreibung der ... Maschiene zu rastriren von Noten und Schulpapier, ...","Notenpapier, Schreibpapier,
Liniermaschine",Wien,1836,03.03.1836
2294,Pohlmueller,Joseph,,,,,"mit einer besonderen Gattung Lak überzogen wird, daß das fertige Produkt ... nach dem Leder","Imprägnierung/Stoff, Kunstleder",Wien,1836,
2295,Bilharz,Johann Nepomuk,Bilharz,Kandidus,,,Beschreibung der ganz heu erfundenen Cylinder Kerzen mit unverbrennbaren Dochten,"Kerze, Docht",Wien,1837,01.05.1837
2296,Hofmann,Ludwig,,,,,Privilegiums-Beschreibung ... auf die Erfindung einer neuen Art Spodium,Knochenkohle,Wien,1837,24.07.1837
2297,Ancillo,Giuseppe,,,,,Descrizione del Processo pel Ciocolatte Vegeto-Animale Osmazomico,Schokolade,Venezia,1823,01.07.1823
2298,Zugmayer,Severin,,,,,"Beschreibung der ... Erfindung eines neuen Pfluges, ...",Pflug,Wien,1827,18.08.1827
2299,Mayer,Blasius,,,,,"Beschreibung des von Blasius Mayer angesuchten Privilegi über eine verbesserte
Nägelerzeugungsmaschine","Nagel, Schneidemaschine",Wien,1832,01.07.1832
2300,Mastalier,Anton,,,,,"Beschreibung der ... Erfindung einer Maschine zur Erzeugung aller Arten von Wachskerzen und
Wachsstöckel, um selbe aus kaltem Wachse ... verfertigen zu können, ...","Kerze, Wachsstock, Docht",Wien,1833,04.09.1833
2301,Koelbel,Franz,,,,,Beschreibung meiner neu erfundenen in der Luft schwebenden Leuchtmaschine,"Leuchtschirm, Fallschirmrakete,
Feuerwerk",Wien,1835,08.08.1835
2302,Litsch,Wilhelm,,,,,"Beschreibung der ... neuen Verbesserung einer WaterTwistFliege bei Spinnmaschinen, ...","Spinnmaschine, Flügel/Spinnmaschine",Wien,1835,28.09.1835
2303,Huber,Simon,,,,,"Neu gemachte Erfindung einer vollkommenen von den bisherigen abweichenden chemisch
praktischen Lauge und Seifenbereitungs-Theorie der fünf neu erfundenen neutralisierten und
nicht neutralisierten Seifengattungen","Fett, Oel, Unschlitt, Seife,
Färben/Seife, Neutralisieren",Wien,1835,08.10.1835
2304,Zang,Franz,,,,,Beschreibung der verbesserten Oehllampe,Lampe,Wien,1836,18.08.1836
2305,Schlesinger,Anton Joseph,,,,,"Privilegiums-Beschreibung der ... Erfindung, die noch nie zur Seifenfabrikation in Anwendung
gesetzten vegetabilischen verseifbaren Stoffe mit aller Gattungen thierischer Fettarten, wie auch
aller Gattungen fetter Oehle in Verbindung ätzender Soda oder Potaschlauge, ...","Fett, Oel, Seife",Wien,1836,31.10.1836
2306,Gottlass,Anton,,,,,"Beschreibung und Darstellung des ... erfundenen neuen Mechanismus für einen Handdruck
mittelst welchen gewebte Stoffe aller Art mit mehreren Farbenbeitzen auf einmal aufgedruckt,
ausgefärbt, sodann auf gleiche Art mit Tafelfärben versehen, das Farbenspiel durch wiederholte
Manipulation nach Willkühr vervielfältigt, und so zu sagen ins Unendliche getrieben werden könne","Zeugdruck, Dessin, Verdickungsmittel",Wien,1824,22.12.1824
2307,Muck,Joseph,,,,,"Beschreibung der ... Verbesserung in der Fabrikation der Filz- oder SeidenHüte, ...","Hut/Wasserdichter,
Schweißschwamm, Kappe",Prag,1831,05.11.1831
2308,Martina,Johann,,,,,"Beschreibung der ... Erfindung ..., daß es ihm gelang, alle Gattungen von Viertel-Repetiruhren
(sogenannten Stockuhren) ... zu verfertigen, ... Uibrigens glückte es ihm, das sogenannte
Perpetuum mobile zu erfinden, ...","Uhr, Repetierwerk, Perpetuum mobile,
Getriebe",Prag,1833,11.10.1833
2309,Koerbler,Franz,,,,,"Beschreibung der ... Verbesserung ...: Daß derselbe gepreßte Messerhefte /:statt wie schon
existirt aus Büffelhorn:/ aus Schaafhorn schwarz oder verschiedenartig gebeitzt erzeugt, ...","Schafhorn, Messerheft,
Hornbearbeitung, Färben/Horn",Wien,1838,11.01.1838
2310,Pfaff,Joseph,,,,,"... zeigt ... an eine neue Erfindung gemacht zu haben, ...: Mittelst einer ... Maschin, gepfälzte
Knöpfe aus allen beliebigen Stoffen, sowie auch aus allen Metall als Gold u. Silber, zu erzeugen. Sie
haben ... den Vortheil, daß sie einen Botzen haben, durch welchen sie an die Kleider befestigt
werden, ...","Gold, Silber, Knopf",Wien,1836,06.08.1836
2311,Bruckner,Anna,Hubert,Heinrich,,,"Beschreibung und Zeichnung der Erfindung: daß die Abziehriemen für Rasiermesser mittelst einer
Vorrichtung von Stahlfedern zum Abziehen sowohl hohl als flach geschliffener Messer mit bestem
Erfolg zu verwenden sind","Abziehen/Rasiermesser, Rasiermesser",Wien,1832,28.11.1832
2312,Kleinist,Joseph,,,,,"Beschreibung der ... Erfindung eines Scheiben arondir Maschine, mittelst welcher er die Zähne der
Räder zu allen Gattungen Uhren Spielwerken und Maschinen ausfertiget; ...","Zahnrad, Räderschneidemaschine",Wien,1836,09.11.1836
2313,Peltzl,Anton,,,,,"Beschreibung der ... Erfindung der wasserdichten Stiefeln und Schuhe, ...","Stiefel, Schuh, Leder/Wasserdichtes,
Imprägnierung/Leder",Wien,1838,16.05.1838
2314,Montperny,Friedrich Graf v.,,,,,"Beschreibung der ... neuen Erfindung von Wagenbüchsen, ...","Wagen, Schmierbüchse",Wien,1838,03.06.1838
2315,Maux,Alois,,,,,"Beschreibung der ... Verbesserung zur Vereinfachung und wesentlichen Erleichterung der Schwal-
Webstühle","Schal, Bandstuhl, Dessin",Wien,1837,13.07.1837
2316,Kantz,Johann Christian,,,,,Beschreibung der neuen Erzeugung des Feuerschwammes,Feuerschwamm,Laibach,1829,07.09.1829
2317,Maloch,Ignaz,,,,,"Beschreibung meines neu verbesserten Decateur-Apparats, ...",Dekatiermaschine,Prag,1833,01.10.1833
2318,Springer,Johann Baptist,,,,,"Beschreibung der ... erfundenen Maschine, die man einen Storchenschnabel der Natur, oder
Panoramagraph nennen dürfte","Pantograph, Panorama,
Zeichenapparat, Perspektive",Wien,1831,28.05.1831
2319,Springer,Johann Baptist,,,,,"Beschreibung der von mir am 11.12.1835 erfundenen, dann in Holzmodell, und endlich in Metall
ausgeführten Copirmaschine, Homeograph von darum genannt, weil sie jedes Original gerade in
derselben Größe genau auf Kupfer oder Stahlplatte oder Fabricksdruckwalzen kopirt, punctirt und
schneidet","Kopiermaschine, Kupferstich,
Farbendruck, Druckwalze",Wien,1836,03.06.1836
2320,Castel,Bonaventura,Picaluga,Gaetano,Pinot,Filiberto,Cascame di Seta,,Milano,1833,
2321,Reithoffer,Johann Nepomuk,,,,,"Beschreibung zu dem Privilegium auf allerlei Gattungen Wägen mittelst Anwendung des
Kautschuk /:Gummi elasticum:/","Wagen, Federung/Wagen,
Gummiband",Wien,1836,02.11.1836
2322,Regogioli,Cassandra Bertuzzi,,,,,Descrizione del Scaldaletto di Terra come dall'unito Disegno,"Tonwaren, Geschirr",Venezia,1837,14.10.1837
2323,Eisenbach,Kaspar,,,,,Beschreibung der ... neuen Feuerspritze ...,Feuerspritze,"Zöptau, Kreis
Olmütz",1835,22.06.1835
2324,Rima,Tommaso,,,,,Descrizione delle Bagnole gollegianti [Schwimmende Bäder],Badeschiff,Venezia,1833,05.05.1833
2326,Franzenshuld,"Friedrich Heinrich
Hartmann Edl.v.",,,,,Beschreibung des Privilegiums ... auf die Erfindung von Bettstellen aus alten Gewehrläufen,"Bett, Gewehrlauf, Stahlrohrmöbel",Wien,1838,28.09.1838
2327,Bolmida,Luigi,,,,,"Descrizione: La pressa meccanica ... pel cardaggio delle moresche /:ovvero dette struse:/ ...
[Presse zum Kardätschen der Seidenabfälle]","Seidenabfälle, Krempeln, Presse",Torino,1832,19.06.1832
2328,"Romer - Kiss -
Enyitzke",Stephan Edl.v.,,,,,"Beschreibung des unter 22.Dec.1836 von mir angesandten Privilegiums auf die Verbesserte unter
4.Jänner1834 ausschl.priv. noch acta in Wirkungstehende Frictions Phosphorzündmassa zu derley
Frictionsfeuerzeugen","Phosphor, Zündholz",Wien,1836,22.12.1836
2329,Lederer,Joseph,,,,,"Beschreibung der ... Verbesserung A) MännerSchlafröke aller Gattungen mit westen/Gilees/ und
Halsbinden/Cravaten/ von verschiedenen Stoffen, auf eine solche Art zu verbinden, daß sie bloß
ein einziges anständiges und elegantes Kleidungsstück bilden und B) DamenSchlafröke ebenfalls
mit Halsbinden/:Schleiffen/ zu einem Kleidungsstüke zu verbinden","Schlafrock, Schneiderei, Kleidung",Prag,1835,28.12.1835
2330,Flachnecker,Joseph,,,,,"Beschreibung der ... erfundenen und verfertigten gepolsterten Stahlfeder-Matratzen ohne
hölzernen Rahmen","Stahlfeder, Matratze,
Federung/Matratze",Wien,1836,17.10.1836
2331,Mueller,Karl Ludwig,,,,,Beschreibung der ... Erfindung ...: Eine neue BeleuchtungsMethode ... darzustellen ...,"Lampe, Leuchter",Wien,1834,24.12.1834
2332,Montag,Kaspar,Urschuetz,Markus,,,"Beschreibung der Erfindung ... zur Verfertigung von Knöpfen, ..., daß diese Blech und Metal Knöpfe
mit Oehrln versehen, und ohne Feuer dazu zugebrauchen erzeigt werden ...","Knopf, Presse",Wien,1838,10.03.1838
2333,Pinella,Giovanni,,,,,"Descrizione della Macchina ... per tagliare in fette i legni duri da Tintoria
[Farbholzschneidemaschine]","Farbholzmühle, Schneidemaschine",Brescia,1829,05.01.1829
2334,Brey,Gaetano,,,,,"Descrizione del miglioramento al sistema di perforamento dei terreni ... [Verbesserte
Erdbohrmethode]","Tiefbohrung, Bohrapparat",Milano,1836,01.02.1836
2335,Bodra,Andrea,,,,,"Descrizione della nuova invenzione che ... consiste in Sostanza in una nuova machina di ferro, o di
legno per animare qualunque opificio ... [Gewichtsantrieb für Spul-, Spinn- und Zwirnmaschinen]","Spulmaschine, Spinnmaschine,
Zwirnmaschine, Gewichtsantrieb",Carpenedole,1836,09.07.1836
2336,Stubenrauch,Peter,,,,,"Beschreibung der ... Erfindung der Erzeugung des gestickten Tüll und der Spitzen, ...","Spitzen, Tüll, Bobinetmaschine",Wien,1838,09.06.1838
2337,Dietschy,Anton,,,,,Beschreibung der neu erfundenen Seidenbandstoppeln,"Seidenbandstoppel, Kleisterkalander,
Papierstreifen, Kaschiermaschine",Wien,1839,19.01.1839
2338,Gasteiger,Johann,,,,,"Beschreibung der ... Verbesserung ...: Alle Gattungen auf Rahmen gespanntes Leder in einer
Verschlossenen Trocknungs-Behältnisse ohne Einwirkung der Sonne und Luft zu lakieren,
demselben auf eine Seite die dem Beinschwarz ähnliche Farbe, auf der andern Seite das schöne
Grazer Kaisergrün ... zu geben, ...","Lederlack, Schwarz, Grün",Graz,1839,13.02.1839
2339,Gemperle,Johann,,,,,"... zeiget ... an, eine neue verbesserte Koffee-Surrogate gemacht zu haben, ...","Zichorie, Kaffee",Wien,1824,25.01.1824
2340,Dobbs,J.,Mellissen,Franz,,,"Neue Verbesserungen an Rauhmaschinen, oder solche um die Haare der Wolle an Tüchern
abzurauhen, oder den Faden ... kreuzweise zu rauhen, und zu bearbeiten, ...",Rauhmaschine,Wien,1833,28.08.1833
2341,Huber,Simon,,,,,"Mein Privilegium soll sich auf zwei Gegenstände beziehen, nämlich 1. auf die Anwendung eines
neuen Verfahrens, um aus allen öhlgebenden Samen als Winterraps oder Rübsen, Kohlsaat, Lein-
u. Hanfsamen, chinesischem Oehlrettig, Mohn, Senfsamen, Sonnenblumen, Leindotter usw.
Brennoehl ... zu gewinnen und 2. ... die Oehlteile ... in eine Maße zu vereinigen u. ... zu mehreren
Gattungen Seife zu verwenden","Raps, Rübsen, Leinsamen, Hanfsamen,
Sonnenblumenkern, Mohn,
Chinesischer Oelrettich, Senf,
Leindotter, Oel, Seife",Wien,1833,27.11.1833
2342,Barandon,J.,,,,,"Beschreibung der ... Verbesserung, ..., das Aufsetzen der Zündhütchen bei allen
Percussionsgewehren von selbst zu bewirken [Text franz. u. deutsch]","Zündhütchen, Gewehrschloß",Wien,1833,11.09.1833
2343,Demuth,Karl,,,,,"Genaue Beschreibung der Zeichnungen I, II, III, IIII der neuen Vergnügungsbahn oder Coliseum
Maximum genannt","Vergnügungsbahn, Getriebe, Aufzug",Wien,1836,19.11.1836
2344,Strauss,Joseph,,,,,der Seifensiederei noch nicht gebrauchten und billig zu stehen kommenden Stoffes eine sehr gut,"Kleber, Seife",Wien,1836,
2345,Gabler,Anton,,,,,"Beschreibung der ... Erfindung: Die Gegenstände aus Horn mit Hilfe einer flüssigen Beitze so zu
verfertigen, daß selbe nicht nur an Elastizität und Feinheit sondern auch hinsichtlich des
feurigglänzenden, durchsichtigen und dauerhaften Farbenspiels, dem Schildkrot /: Schildplatt:/
vollkommen gleich sind","Hornbearbeitung, Beize",Prag,1836,24.12.1836
2346,Rademacher,Christian,,,,,Beschreibung der ... verbesserten Männer Sonnenschirme in Spazierstöcken,"Sonnenschirm, Stock",Wien,1837,21.01.1837
2347,Lamarche,Michael,,,,,"Beschreibung der ... Entdeckung, welche ... darin besteht, den Strohsesseln eine schönere,
glänzendere, das Stroh nicht zerstörende Farbe zu geben [Text frz.]","Stroh, Färben/Stroh, Sessel",Wien,1838,21.06.1838
2348,Kappes,Jakob,,,,,Beschreibung und Nutzen der verbesserten bleiernen Retirade-Schläuche,Abort,Wien,1837,22.03.1837
2349,Tschulik,Franz,,,,,"Beschreibung des Sicherheitswagens, dessen Kasten beim Umstürzen des Gestelles ohne
Erschütterung wagrecht auf seiner Unterseite auffält und sich zugleich von den Hängeriemen
loszieht, so daß sich dabei niemals eine Beschädigung der Fahrenden ereignen kann","Wagen, Federung/Wagen",Wien,1838,10.02.1838
2350,Scheller,Johann Andreas,,,,,"Beschreibung der von mir Erfundenen Mahl-Schneid-Stampf- und anderen Mühlen, zur Erzeugung
von Mehl-Gries-Fornier-Bretter-Oehl usw. ...","Mühle, Sägemühle, Oehlmühle,
Wasserrad, Getriebe",Wien,1838,05.02.1838
2351,Boehr,Albert,Funcke,Ferdinand,,,"Beschreibung der Erfindung: allen möglichen Herrn und Damenschmuck, in englischem Gold
Plaquè (Douplè) sowohl mit Steine, Perlen, Emaillien, als anderen Verzierungen erzeugen","Dublee, Schmuck",Wien,1838,27.03.1838
2352,Lang,Joseph,Ruehm,Wilhelm,,,Beschreibung der neu erfundenen Kaffeemaschine,Kaffeemaschine,Wien,1838,22.01.1838
2353,"Scheidtenberge
r",Joseph,,,,,Beschreibung künstliche Schleif und Wetzsteine zu machen,"Schleifstein, Wetzstein, Kunststein",Villach,1834,05.04.1834
2354,Fornachon,Louis Victor,,,,,"Beschreibung der ... Verbesserung in der Baumwollspinnerey, welche im Wesentlichen in der
vortheilhafteren Gestaltung der Maschinentheile und Beschleunigung der Bewegung einiger
Theile der Trostle-Maschine besteht","Baumwolle, Spinnmaschine",Wien,1834,21.01.1834
2355,Cichocki,Felix,,,,,"Beschreibung der ... Verbesserung, ..., daß: der Hanf nicht wie üblich mit Wasser gerieben,
sondern mittelst einer neuen aus bleihernen Walzen bestehenden Maschine ... zerquetscht wird.
2. daß bei der Erzeugung der Seilerarbeiten ... zum treiben des Rades ... durch eine Verbesserung
der Spinnräder, von selbst entsteht, ...","Hanfbrechmaschine, Seil,
Spinnmaschine",Wien,1838,15.01.1838
2356,Rietsch,Franz G.,,,,,"Beschreibung der bei der hochfürstlichen Oettingen Wallersteinischen Runkelrübenzuckerfabrick
[in Kleinkuchl] bestehenden Knochenkohlenverkleinerungs Maschine und des Verfahrens bei der
Vermalung der Knochen","Knochenkohle, Knochenmühle",Königsaal,1833,14.12.1833
2357,Staudinger,Joseph,,,,,Beschreibung einer von dem Unterzeichneten erfundenen Papierhobelmaschine,"Papierhobel, Zwinge",Wien,1837,25.03.1837
