PrivRegNr	Name1	Vorname1	Name2	Vorname2	Name3	Vorname3	Titel	Schlagworte	Ort	Jahr	Einreichdatu	lat	long
2066	Kaufmann	Karl	NA	NA	NA	NA	"Beschreibung über die Verbesserung der Luft- oder Hydrostatischen Lampe, welche ... darin
besteht, daß sie viel einfacher zu füllen ist, ein gleichförmiges reineres Licht verbreitet und dessen
Cylinder auf alle Arten Argantischer Lampen anzuwenden ist"	Lampe	Wien	1837	18.10.1837	48.2080696	16.3713095
2067	Weiseles	Simon	NA	NA	NA	NA	"Beschreibung des Verfahrens bei der Zubereitung der Roßhaare, wodurch sie eine größere
Festigkeit und Elasticität erhalten, und dem Ungeziefer unzugänglich werden"	Roßhaar, Waschmittel	Prag	1833	21.01.1833	50.0755381	14.4378005
2068	"Romer - Kis-
Enyitzke"	Stephan Edl.v.	NA	NA	NA	NA	... St. Romer ́sche Hydrogen-Zündmaschine einfacher, dauerhafter und bequemer zu machen...	Zündmaschine	Wien	1836	06.04.1836	48.2080696	16.3713095
2069	Amberg	Anton	NA	NA	NA	NA	"Beschreibung der ... Verbesserung der Auslösser bey der Klavitur im einzelnen oder zusammen
nach Bedürfniß mittelst einer Schraube höher oder tiefer zu stellen, wodurch das Auslassen, wie
auch übertragen der Hämmer gänzlich besetigt und ein weit reinerer Ton bezweckt wird, ..."	Klavier	Wien	1837	03.05.1837	48.2080696	16.3713095
2070	Wurtzinger	Anton	NA	NA	NA	NA	"Beschreibung der Bereitung von verschiedenfärbigen Harzen zum Behufe der hermetischen
Verschließung von Bouteillen"	Harz, Färben/Harz, Flaschenverschluß	Wien	1836	10.12.1836	48.2080696	16.3713095
2071	Rolle	Friedrich	Schwilgue	Johann	NA	NA	Tragbare oder Butten-Feuerspritze	Feuerspritze, Spritzbutte	Wien	1835	17.12.1835	48.2080696	16.3713095
2072	Girard	Philipp Heinrich v.	NA	NA	NA	NA	"Beschreibung eines neuen Apparates, um in den Salzsiedereyen die Pfannen zu ersetzen; welcher
auch zur Verkochung anderer Salz-Arten mit Vortheil gebraucht werden kann"	"Salzpfanne, Kochsalz,
Verdampfapparat"	Wien	1825	10.10.1825	48.2080696	16.3713095
2073	Chaussenot	Heinrich Bernard	NA	NA	NA	NA	"Beschreibung gewisser, bei den Vorrichtungen zur Beleuchtung durch Gas oder durch andere was
immer für gasartige Körper oder zur Erzeugung von Licht geeignete Flüssigkeiten, gemachten
Verbesserungen, ..."	Leuchtgas, Gasbeleuchtung	Wien	1835	05.10.1835	48.2080696	16.3713095
2074	Cocchiatelli	Domenico	NA	NA	NA	NA	"Descrizione della nuova Invenzione che ... consiste in un nuovo metodo per la fabbricazione di
Saponi a freddo secondo le dichiesto dello ... Patente ... del 31.12.1832 [Seife auf kaltem Wege]"	Seife, Rührwerk, Verseifungsapparat	Milano	1834	06.10.1834	45.468503	9.1824027
2075	Koscheluch	Adalbert	NA	NA	NA	NA	Beschreibung einer neu erfundenen Maschine Mehl zu mahlen ...	Mühle, Getriebe	Sign	1833	01.04.1833	NA	NA
2076	Tschoffer	Moritz v.	NA	NA	NA	NA	"Beschreibung der von der österreichischen Gesellschaft zur Beleuchtung mit Gas angeblich
gemachten neuen Verbesserung ""in Erzeugung des Oehlgases"", ..."	"Oelgas, Gasbeleuchtung, Trockene
Destillation"	Wien	1836	26.09.1836	48.2080696	16.3713095
2077	Gebhard	Johann Paul	NA	NA	NA	NA	"Beschreibung der ... Erfindung, ..., daß Spielkarten mittelst Xylographien durch Farbendruck
erzeugt werden, welche eine besondere Schärfe und Reinheit in ihren Farben, und durch eine
besonders vortheilhaft angewendete Apretur ein ausnehmend schönes und elegantes Ansehen
erhalten, ..."	"Farbendruck, Spielkarte, Appretur,
Holzschnitt"	Wien	1836	14.07.1836	48.2080696	16.3713095
2078	Badstueber	Nikolaus	NA	NA	NA	NA	Beschreibung uiber eine verbesserte Bauart hözerner Jochbrükken mit Traggebälke	Joch, Brücke, Holzbau	Krumau	1833	26.05.1833	48.8127354	14.3174657
2079	NA	Joseph	NA	NA	NA	NA	Uhrfedern zusammengestellt bestehend; ...	Stahlfeder, Perücke	Wien	1833	NA	48.2080696	16.3713095
2080	Rolle	Friedrich	Schwilgue	Johann	NA	NA	"Beschreibung der an der großen Brückenwaage ... zum Abwägen der Frachtwägen angebrachten
Anderungen laut beiliegenden Zeichnungen"	Brückenwaage	Wien	1835	16.01.1835	48.2080696	16.3713095
2081	Klein	Johann	NA	NA	NA	NA	"... zeigt ... an, eine neue Erfindung und Verbesserung gemacht zu haben, ...: daß die Blasbalg-
Harmonika in einer gänzlichen Form eines Buches ist, und auch gemächlich als ein Taschenbuch in
die Tasche gesteckt werden kann, ..."	Ziehharmonika	Wien	1835	09.07.1835	48.2080696	16.3713095
2082	Schuetz	Karl August	NA	NA	NA	NA	Beschreibung der neu erfundenen vierfachen Säemaschine	Sämaschine	Wien	1835	09.06.1835	48.2080696	16.3713095
2083	Krupnik	Mathias	NA	NA	NA	NA	Die Verbesserung von Staubbädern, ...	Bad	Wien	1836	04.02.1836	48.2080696	16.3713095
2084	Rahn	Heinrich	Spoerlin	Michael	NA	NA	Beschreibung der Grundier-Maschine. Verfertigung der Iris-Tapeten	Tapete, Irisdruck, Grundiermaschine	Wien	1822	08.09.1822	48.2080696	16.3713095
2085	Reichenbach	Karl	Salm	Hugo Graf v.	NA	NA	Beschreibung über das Verfahren der Verkohlung in geschlossenen Oefen	"Holzkohle, Verkohlen,
Raffinade/Holzessig, Holzessig"	Raiz	1822	31.07.1822	NA	NA
2086	Della Porta	Eleonora Gräfin	NA	NA	NA	NA	Beschreibung u. Zeichnung der ... Verbesserungen zur Veredlung der Seidenkultur, ...	"Seidenkokon, Seidenhaspel,
Spinnmaschine"	Wien	1825	12.02.1825	48.2080696	16.3713095
2087	Deutsch	Emanuel	NA	NA	NA	NA	"Beschreibung der ... Erfindung, ...: Wolle auf eine Art zu bereiten, daß selbe leicht auf dem
Krempel sich verarbeiten läßt, und nach der Walke eine sehr glänzende Weiße erhält, ..."	"Wollwäsche, Waschmittel, Krempeln,
Walken"	Wien	1825	23.03.1825	48.2080696	16.3713095
2088	Fexer	Franz	NA	NA	NA	NA	"Beschreibung der ... Erfindung, ..., daß mittels eines Triebrades das Rösten, Schälen, Zerreiben und
vollkommene Flüssigmachen der Kakaobohnen, wie auch das Zerstoßen des Zuckers und der
Gewürze bewirkt werde ..."	"Schokolademühle, Kakaomühle,
Mischmaschine"	Wien	1826	09.10.1826	48.2080696	16.3713095
2089	Krebel	Anna	NA	NA	NA	NA	"Beschreibung [der] ... Entdekkung ...: Fußsockeln für Männer und Frauen von allen beliebigen
Stoffen zu verfertigen, u. selbe wasserdicht zu machen, ..."	Socken, Wasserdicht(er) Stoff	Wien	1827	14.09.1827	48.2080696	16.3713095
2090	Falkbeer	Anton	NA	NA	NA	NA	"Beschreibung der ... Erfindung ... daß eine zum Formen und Drucken aller Gattungen Bleche
dienende Maschine, ... ausgeführt werden könne"	Blechbiegemaschine, Presse	Wien	1828	29.01.1828	48.2080696	16.3713095
2091	Falkbeer	Anton	NA	NA	NA	NA	"Beschreibung der ... Erfindung, ...: daß eine neue Methode angewendet wird, um Metall-Waaren
aus Schwarz- und Weiß-Blech, dann aus Kupfer-, Zinn-, Zink- oder anderen Blechen, ohne Beihülfe
des bisher üblichen Hammers, des Preß- oder Fallwerkes, sondernd bloß mittelst des Druckes ...
geformt und erzeugt werden"	Blechwaren, Presse	Wien	1828	02.04.1828	48.2080696	16.3713095
2092	Sterz	NA	"Werdmueller -
Elgg"	"Philipp Heinrich
v."	NA	NA	"Beschreibung und Zeichnung der von Sterz & Co in Pitten angeblich gemachten neuen Erfindung
einer Papier-Preßmaschine"	Papier, Presse	Markt Pitten	1828	05.09.1828	NA	NA
2093	Ertel	Traugott	Hueber	F.A.	NA	NA	Beschreibung der hydraulischen Pumpe	Pumpe	Absam	1829	07.02.1829	47.2970596	11.5121833
2094	Kiesling	Gustav	Kiesling	Wilhelm	NA	NA	"Beschreibung der ... Erfindung, ...: 1. In einer anderen Einrichtung des Troges des Holländers. 2. In
der Veränderung der Form der Walzenmesser des Holländers und 3. In der Anbringung eines
Waschmaschine in dem Troge"	"Holländer, Walzenmesser,
Waschmaschine"	Ober-Langenau	1830	21.01.1830	50.2198363	16.6470529
2095	Melzer	Franz	NA	NA	NA	NA	Genaue Beschreibung der ... Verbesserungen an den Flügel-Clavieren	Klavier	Wien	1832	14.04.1832	48.2080696	16.3713095
2096	Eggerth	Joseph	NA	NA	NA	NA	"Beschreibung & Model der ... Verbesserung ...: Seidenknöpfe mit Metallene Böden und Oehrl
mittelst einer neu erfundenen Maschin-Vorrichtung in allen denklichen Formen und Größen ... zu
erzeigen"	Seide, Knopf, Presse, Dessin	Wien	1832	02.06.1832	48.2080696	16.3713095
2097	Bayer	Joseph	NA	NA	NA	NA	"Genaue deutliche und Gewissenhafte wahre Beschreibung meiner Verfahrungsart bey der
Gerbung des Juftenleders, wie auch des chemischen Aparates, zur Erzeugung und Reinigung des
Birkenöhls, und des dabey stadtfindenden Proceßes"	"Juchten, Leder, Gerberei,
Raffinade/Birkenöl, Birkenöl"	Hermannstadt	1831	01.10.1831	45.8034789	24.1449997
2098	Lorch	Peter	NA	NA	NA	NA	Beschreibung der Verbesserung in verfertigung der Seidenhüte ...	Hut/Wasserdichter	Brünn	1832	27.08.1832	49.1950602	16.6068371
2100	Heim	Johann Joachim	Heim	Sebastian	NA	NA	"Gesuche eines Privilegiums in der k.k. Oesterreichischen Monarchie zur Betreibung einer
verbesserten Steindrukerey eingegen von: Heim & Sohn aus St. Gallen"	"Lithographie, Farbendruck,
Druckplatte, Aetzen"	"St.Gallen/Schwe
iz"	1832	17.09.1832	47.4244818	9.3767173
2101	Tungel	Anton	NA	NA	NA	NA	"Beschreibung der ... Verbesserung der Dachziegel, und Erfindung rinnenartiger Ziegel ... Endlich
Erfindung neuer Gattungen von Gesims-, Gurten-, Pflaster-, Brun-, Rauchfang- und Säulenziegel ..."	"Dachziegel, Wasserleitungsrohr,
Rinnziegel, Gesimsziegel, Gurtenziegel,
Gewölbeziegel, Pflasterziegel,
Rauchfangziegel, Hohlziegel"	Wien	1833	29.01.1833	48.2080696	16.3713095
2102	Hofmann	NA	Maderspach	NA	NA	NA	"[Beschreibung] eiserner Hängebrücken, welche sich von denen schon im Gebrauche befindlichen
dadurch unterscheiden, daß statt denen Thürmen gußeiserne Kasten-Bögen die Stützpunkte
bilden, überdies sowohl die überhängenden Spannketten, wie auch die Spanngewölbe mangeln"	Stahlbau, Brücke	Rußkberg	1833	19.03.1833	NA	NA
2103	Schwerdberger	Johann	NA	NA	NA	NA	"Beschreibung ... der ... Erfindung der sogenannten Gesellschafts und ... Doppelschlösser, wo die
ersteren mit drey, die letzteren aber mit zwey Schlüsseln versehen sind, und dennoch nur einen
vorstellen ..."	Schloß, Schlüssel	Wien	1833	21.01.1833	48.2080696	16.3713095
2104	Sammer	Joachim	NA	NA	NA	NA	"Beschreibung des ganz neu erfundenen Mechanismus unter dem Tittel, Wagen mit einer mit sich
führenden beweglichen Eisenbahn, ..."	Wagen, Eisenbahn, Zahnradbahn	Wien	1833	01.04.1833	48.2080696	16.3713095
2105	Baum	Daniel	NA	NA	NA	NA	Baum in seiner Fabrick zu Heinrichsthal nächst Lettowitz	Bobinetmaschine	Wien	1833	NA	48.2080696	16.3713095
2106	Sockl	Gottlieb	NA	NA	NA	NA	Beschreibung der Kartoffel Verkleinderungs- und Auflösungsmaschine	"Kartoffel, Reibmaschine/Kartoffel,
Siebwerk, Kühlapparat"	Wien	1833	01.06.1833	48.2080696	16.3713095
2106	Sockl	Gottlieb	NA	NA	NA	NA	Beschreibung der Kartoffel Verkleinderungs- und Auflösungsmaschine	Kartoffel, Reibmaschine/Kartoffel,	Wien	1833	NA	48.2080696	16.3713095
2107	Moesslinger	Franz	NA	NA	NA	NA	"Beschreibung der Zubereitung des silberplattirten Bleches zur Verfertigung von Uhrblättern
sowohl, als auch aller, wie immer Namen habenden, daraus zu verfertigenden Artikel"	"Silberwaren, Blech, Plattieren,
Zifferblatt"	Wien	1833	22.10.1833	48.2080696	16.3713095
2108	Steimlen	Christoph	NA	NA	NA	NA	"Beschreibung der ... Erfindung ...: 1. Glassreifen zu allen Gattungen Uhren ... desgleichen
Einfassungen oder Rahmen für Möbeln, Militär-zeuchen, Armaturen Schilder, Wappenschilder, für
Pferdegeschirre und Wägen u. derley Luxusgegenstände ... mittelst eigents hiezu eingerichteter
Maschienen zum Preßen. 2. Derley Gegenstände nicht nur mit den manigfaltigsten ... Desains
matt oder glänzend erhoben oder vertieft, gefirnißt, oder gesotten versilbert, plattirt oder
vergoldt, gemahlen oder mit ... Email, ja selbst ... der Künstlichen Mosaik gleich, ... zu erzeugen ...
3. ... Uhreifen ..."	"Einfassung, Rahmen, Uhrreifen,
Abzeichen/Militärisches, Dessin,
Presse, Bronzieren, Versilbern,
Vergolden, Emaillieren, Galanterie"	Wien	1833	21.12.1833	48.2080696	16.3713095
2109	Macaire	"Jakob Elisee
Ludwig"	NA	NA	NA	NA	"Beschreibung der Entdeckung und Verbesserung einer Mühle mit senkrechter Bewegung,
feststehend oder beweglich, in Gang gesetzt durch Wasser oder jede andere Betriebskraft, und
geeignet alle Getreidearten ... zu mahlen: Hülsenfrüchte zu zermalmen oder abzustreifen und
harte Bestandtheile zu pulverisieren"	Mühle, Reibmaschine/Hülsenfrüchte	Wien	1833	24.12.1833	48.2080696	16.3713095
2110	Lutzenleithner	Franz	Rosenberg	W.G.	NA	NA	Beschreibung des Privilegiums auf wohlriechendes und aromathisches Wasser	Parfüm	wien	1833	20.11.1833	48.2080696	16.3713095
2111	Schubert	Franz	NA	NA	NA	NA	"Beschreibung der ... Erfindung ...: A) gewebte, wollene, leinerne, hänfene und roßhaaren Zeuge
auf lederähnliche Art und Aussehen ...zuzubereiten und hievon Männer- und Frauen Stiefeln und
Schuhe zu verfertigen. B) Sohlen aus Holzmehl und Hornspänne auf Ueberschuhe und Pantofeln
zu verfertigen, und auf die Verbesserung: C) eines neuen haltbaren ... Schusterkleisters und
Schusterdrahtes, ..."	"Kunstleder, Schuhsohle, Schusterpapp,
Schusterdraht, Hausschuh"	Wien	1834	22.03.1834	48.2080696	16.3713095
2112	Weinhaeusel	Joseph	NA	NA	NA	NA	Beschreibung des Sparofens in Verbindung mit einem Luftheitzungsapparat, ...	Kachelofen, Kochherd, Stuckofen	Wien	1834	18.03.1834	48.2080696	16.3713095
2113	Bargehn	Karl v.	Greiner	Friedrich	Danchell	Friedrich	"Beschreibung der Entdeckung, wonach der erfundene Körper für sich bestehend und ohne
unmittelbare Verbindung mit dem Saitenhalter ist; ferner einer neuen niederschlagenden
Klaviermechanik, wo der Hammer durch eine horizontale Bewegung in Activität gesetzt wird; Für
Oest.-ung. Monarchie von Karl v. Bargehn"	Saiteninstrument, Klaviermechanik	Wien	1834	19.02.1834	48.2080696	16.3713095
2114	Masner	Friedrich Wenzel	NA	NA	NA	NA	"Die Beschreibung meiner Massa, mit welcher ich die gewebten Stoffe dergestallt zurichte, daß
daraus alle jene Erzeugniße erzeugt werden können, die man aus Leder erzeugt, als: Schuhe,
Stiefeln, Decken, Pferdegeschirre, jede Art Ueberzüge, Reise- u. Staubmäntel u. derlei Produkte ..."	Imprägnierung/Stoff, Kunstleder	Wien	1834	20.04.1834	48.2080696	16.3713095
2115	Petrowitz	Johann	NA	NA	NA	NA	Bestandtheile der Fett und Frankfurter Glanz-Wichse	Schuhcreme	Wien	1834	15.04.1834	48.2080696	16.3713095
2116	Legrain	Louis	Lemaire	Andre	NA	NA	"Beschreibung der ... Erfindung und Verbesserung, Gewehre und Pistolen mit Perkussionsschlösser
nach ganz eigener einfacher Art zu verfertigen, als auch das hiezu eigends anzuwendende
besonders gestaltete chemische Zündpulver ... zu erzeugen, ..."	"Gewehrschloß, Pistolenschloß,
Schießpulver"	Wien	1833	10.12.1833	48.2080696	16.3713095
2117	Hoesch	Joseph	NA	NA	NA	NA	Erklärung des neu erfundenen Holländers	Holländer	Wien	1834	31.05.1834	48.2080696	16.3713095
2118	Mueller	Karl	NA	NA	NA	NA	"Bereitungsart, Perkal in kleineren und ganzen Stücken so zuzubereiten daß er die Stelle des
Maroquin und Saffianleders, so wie des gepreßten und guillochirten Papieres vertritt und
besonders zu Bücherbänden, Portefeuilles, Brieftaschen, Cartons, Tapeten etz. mit großem
Vortheil verwendet werden kann"	"Perkal, Buchbinderei, Galanterie,
Tapete, Kunstleder, Kartonagen"	Wien	1834	07.06.1834	48.2080696	16.3713095
2119	Orth	Louis v.	NA	NA	NA	NA	Beschreibung zweyer neu erfundener Heizungs-Apparate	Ofen, Zentralheizung	Wien	1832	14.03.1832	48.2080696	16.3713095
2120	Rueti	Jakob Kaspar v.	NA	NA	NA	NA	Beschreibung der ... erfundenen Maschine zum Kämmen der Schafwolle	Schafwolle, Krempeln	Wien	1834	01.08.1834	48.2080696	16.3713095
2121	Echaldt	George	NA	NA	NA	NA	Beschreibung meiner Erfindungen und Verbesserungen im Färben der Seide	"Seide, Färben/Seide, Blauschwarz,
Schwarz, Karminrot, Grün"	Wien	1834	28.08.1834	48.2080696	16.3713095
2122	Poelt	Anton	NA	NA	NA	NA	Beschreibung der Mikromegas-Rahme	Bilderrahmen	Wien	1834	25.09.1834	48.2080696	16.3713095
2123	Pust	Andreas	NA	NA	NA	NA	"Beschreibung der ... Verbesserung, ..., das Mühlwerk, und andere Mechanische Vorrichtungen,
durch einen neuen Mechanißmus, viel leichter als bisher in Bewägung zu setzen, ... Dan bei
Brauhausmühlen, das Malz viel besser als bisher gereinigt wird, ..., in dem Lager worin die Axt von
der Walze sich dreht nicht so leicht beschädigt werden kann"	"Mühle, Malzmühle, Putzmaschine,
Getriebe"	Wien	1834	13.10.1834	48.2080696	16.3713095
2124	Haehner	Friedrich Wilhelm	NA	NA	NA	NA	"Verfahrungsart zur Hervorbringung des Fabrikats von Stroh und anderen Pflanzen, welches zum
Polstern der Sophas, Stühle, Matratzen usw. gleich den Pferdehaaren benutzt werden kann, ..."	"Stroh, Imprägnierung/Stroh,
Polstermöbel, Matratze"	Wien	1834	23.09.1834	48.2080696	16.3713095
2125	Bohr	Peter R.v.	NA	NA	NA	NA	"Beschreibung der ... Erfindung, ...: daß er mittelst eines alten oder neuen Kupferstiches, wovon die
Originalplatte verlohren oder unbrauchbar geworden ist, durch Abziehung neue Kupferplatten
erzeugt, welche dem früheren Zweck vollkommen entsprechn, ... im Wege der Litographie und der
Sylographie hervorzubringen"	"Kupferstich, Umdruck, Autotypie,
Lithographie, Holzschnitt"	Wien	1834	19.10.1834	48.2080696	16.3713095
2126	Wagner	Friedrich	NA	NA	NA	NA	Zeichnung und Beschreibung einer neuen Art Feuerspritzen ohne Kolben	Feuerspritze	Wien	1834	04.12.1834	48.2080696	16.3713095
2127	Maurer	Franz jun.	& Co	NA	NA	NA	Kunst-Leinwand-Bleiche	Leinwand, Bleichen	Wien	1834	22.11.1834	48.2080696	16.3713095
2128	Heidenreich	Johann	NA	NA	NA	NA	Erzeugung des sogenannten Neuseeländer-Leders, ...	Leder, Gerberei, Neuseeländer Leder	Wien	1835	22.01.1835	48.2080696	16.3713095
2129	Terrier	Franz	NA	NA	NA	NA	Beschreibung der Ascos, oder Flüssigkeits-Behälter als Federn zu Wagen angewendet	Wagen, Federung/Wagen	Wien	1834	22.12.1834	48.2080696	16.3713095
2130	"Farkas -
Farkasfalva"	Franz Edl.v.	NA	NA	NA	NA	"Beschreibung der Erfindung: das Feuer in Heitz- und Kochöfen, Sparrherde, Kaminen,
Bierbrauerey, Branntweinbrennerey, Salz, Alaun, Soda, Salpeter, Potasche, und Zuckersiederey, so
vortheilhaft anzuwenden, daß an Feuer-Material mehr als die Hälfte erspart wird"	"Feuerung, Kochherd, Kamin, Dörrofen,
Destillierapparat"	Budapest	1834	05.10.1834	47.497912	19.040235
2131	Niederreither	Leopold	NA	NA	NA	NA	"Beschreibung der ... Erfindung, ...: daß bey allen Gattungen Kutschen-Wägen anstatt der
bisherigen Drukfedern, sogenannte Quer-Federn angebracht werden, und der Kasten des Wagens
ganz eine besondere Hängung hat, wodurch der Vortheil erzweckt wird, daß derley Wägen ... nicht
stossen"	Wagen, Federung/Wagen	Traiskirchen	1835	26.03.1835	48.0160435	16.2939617
2132	Kaiser	Wilhelm Friedrich	NA	NA	NA	NA	"... zeigt ... an, eine neue Erfindung und Verbesserung, ..., ...: daß er von allen Gattungen Metall,
aller Gattungen Holz und von Bapier Marschet; Verwendbar auf Gehaiße, einer neuer Gattungen
Harmonika, welche in Gestalt von Form einer Uhr gleich sind, ..."	Mundharmonika	Wien	1835	09.04.1835	48.2080696	16.3713095
2133	Schmid	Anton	NA	NA	NA	NA	"Beschreibung und Zeichnung der ... Verbesserungen an Abdampfungs-Apparaten, ..., daß die
Abdampfung in Luftverdünnten Raum ... noch einmahl so schnell bewirkt wird ... Wodurch
besonders bey Kochung des Zuckers dieser nicht allein an Schönheit ... gewinnt, sondern ... auch
an Zeit und Brennmaterial viel gewonnen wird ..."	Verdampfapparat, Vakuumapparat	Wien	1835	13.02.1835	48.2080696	16.3713095
2134	Orr	James	NA	NA	NA	NA	"Beschreibung zum Behufe der Erlangung eines ausschließenden Privilegiums ... auf die Entdeckung
und Verbesserung der zur Zubereitung und zum Spinnen der Baumwolle, des Flachses, der
Schafwolle und anderer faseriger Substanzen, verwendeten Maschinen"	"Vorbereitungsmaschine,
Spinnmaschine"	Wien	1834	06.11.1834	48.2080696	16.3713095
2135	Kuppler	Konrad Georg	NA	NA	NA	NA	"Beschreibung der ... Erfindung und Verbesserung, welche in einer ganz neuen Construction für
Waagen mit zusammengesetzten Hebeln und zum Wiegen mit verjüngten Gewichten besteht, ..."	"Waage, Brückenwaage,
Gewichtsgleichung"	Nürnberg	1835	05.02.1835	49.4542881	11.0745641
2136	Auernheimer	C.A.	NA	NA	NA	NA	Erste Erfindung des Mineraltaig und Streichriemen, ...	Abziehen/Rasiermesser, Polieren	Regensburg	1835	26.08.1835	49.0134297	12.1016236
2137	Auhl	Johann	NA	NA	NA	NA	Spezifigazion der Verbesserung der Letzten Vollendung an den Filshüten ...	Hut	Wien	1835	26.08.1835	48.2080696	16.3713095
2138	Mareda	W.F.	& Sohn	NA	NA	NA	"Beschreibung der ... Verbesserung, ..., da Unschlitt zu Argantkerzen nach einer eigenen Methode
zu raffinieren, ..., daß bei Erzeugung von Kerzen bedeutend an Zeit und Brennmaterial erspart
wird, ..."	Raffinade/Unschlitt, Unschlitt, Kerze	Wien	1835	26.08.1835	48.2080696	16.3713095
2139	Fruehwirth	C.E.	Schnellig	A.	NA	NA	"... eiserne Bettstellen, welche durch eine einfache Vorrichtung, ohne Schrauben und Stifte, ...
zusammengelegt werden können, ... da die bisher üblichen Gurten oder Bretter durch Drahtgitter
oder Wanneneissen ersetzt sind- alles bisherige der Art weit übertreffen"	Bett, Federung/Bett	Wien	1835	29.09.1835	48.2080696	16.3713095
2140	Rigel	Anton Pius v.	NA	NA	NA	NA	"Plan einer neu anzulegenden Schienenbahn mit Centrifugalbooten zwischen Wien und Triest,
welche dem Staate ein jährliches Einkommen von netto 7 bis 8 Millionen Gulden Silber Münze
abwerfen wird, und zwar durch Anwendung eines geringen Capitals von 500.000 fl C.Mz."	Eisenbahnwagen	Wien	1835	15.11.1835	48.2080696	16.3713095
2141	Davy	Henry Savill	NA	NA	NA	NA	"Eine Verbesserung in dem Apparat für die Ausdünstung des Syrops in der Fabrication des Zuckers,
mittelst luftleerer-Raumpfanne /:in England Vacuum pans genannt:/ zugleich anwendbar für die
Ausdünstung und Zusammenziehung der Geister oder anderen Extracten und zu gleicher Zeit
anwendbar zum Verfahren den Zuckerhut zu trocknen"	"Sirup, Zucker, Verdampfapparat,
Vakuumapparat, Destillierapparat,
Trockenapparat"	Brünn	1834	31.07.1834	49.1950602	16.6068371
2142	Hemberger	"Jakob Franz
Heinrich"	NA	NA	NA	NA	"Beweglicher Mechanismus, den man in der Rad-Nabe, statt den allgemein angewandten Büchsen
anbringt, und dessen Wirkung ist, das Ziehen der zwei- und mehrrädrigen Kutschen, Wägen,
Karren und Fuhrwerk aller Art zu vermindern"	Schmierbüchse, Wälzlager	Wien	1835	28.10.1835	48.2080696	16.3713095
2143	Hohenblum	Joseph R.v.	NA	NA	NA	NA	Beschreibung der ersten Eilcorrespondenz Bahn mittelst stabiler Kräfte	Rohrpost	Wien	1835	06.11.1835	48.2080696	16.3713095
2144	Mathe	Franz	NA	NA	NA	NA	"Beschreibung der neu erfundenen Vorrichtung und Druck-Methode auf
Silbertobackpfeifenbeschläge, auch andere Verzierungen, und Bestandtheile auf Metalle"	"Tabakspfeife, Beschlag, Silberwaren,
Metallwaren, Presse, Dessin"	Wien	1836	23.03.1836	48.2080696	16.3713095
2145	Ris	Anton	NA	NA	NA	NA	"Versiegelte Beschreibung und Zeichnung ... auf die ... Verbesserung der Streckziegeln zur
Verfertigung der Fenstertafeln ..."	Fensterglas, Streckofen	Wien	1836	20.04.1836	48.2080696	16.3713095
2146	Mauss	Johann Baptist	Meill	NA	NA	NA	NA	NA	Beschreibung der in Verfertigung mechanischer Wägen gemachten Erfindung Wagen, Getriebe	1836	NA	NA	NA
2147	Elsner	Franz	Meill	Franz	Mauss	Johann Baptist	"Beschreibung der Ausführung oder Zusammensetzung der Maschinerie zu einem Privilegium, vor
der Hand Federkraft-Schiffe zu verfertigen und in Anwendung zu bringen, welche aber auch zu
anderen Werken anwendbar ist"	Schiffsantrieb, Getriebe	Wien	1836	28.02.1836	48.2080696	16.3713095
2148	Hegnauer	Sigmund	NA	NA	NA	NA	Beschreibung der neuen Entdeckung die Seiden-Abfälle /:Florett-Seide:/ zu waschen und reinigen	Seidenkokon, Florettseide	Wien	1836	02.08.1836	48.2080696	16.3713095
2149	Leywolff	Ignaz	& Sohn	NA	NA	NA	Idee über die verbesserten Oberschlächtigen Wasser-Räder, ...	Wasserrad	Wien	1836	04.08.1836	48.2080696	16.3713095
2150	Wiese	Heinrich	NA	NA	NA	NA	Beschreibung der ... Verbesserung in der Fischbeinreißerei, ...	Fischbein, Reißeisen	Wien	1836	23.09.1836	48.2080696	16.3713095
2151	Darebny	Joseph	NA	NA	NA	NA	Beschreibung der ... neu erfundenen ReiseKafeMaschine	Kaffeemaschine	Wien	1837	25.05.1837	48.2080696	16.3713095
2152	Wessely	Anton	NA	NA	NA	NA	"Beschreibung einer neuen Entdeckung ... in Erzeugung der Strickwolle, sogenannten Baum-Woll-
Zwirns, ..."	Baumwolle, Strickgarn	Wien	1837	16.06.1837	48.2080696	16.3713095
2153	Darebny	Joseph	NA	NA	NA	NA	"Beschreibung der ... in Beziehung auf die gesammte Lampenfabrikation gemachten Verbesserung
an dem Lampen-Cylinder, und den Cylinderlosen Nachtlampen /:Oehlgas-Lampen:/"	Lampe, Nachtlicht	Wien	1837	28.07.1837	48.2080696	16.3713095
2154	Stehle	Johann	NA	NA	NA	NA	"Beschreibung ... an eine Erfindung ... ein Messingblaßinstrument in der Gestalt eines Contrafagots
zu erzeugen, ..."	Kontrafagott	Wien	1836	06.05.1836	48.2080696	16.3713095
2155	"Roethlingshoef
er"	Georg Adam	NA	NA	NA	NA	"Beschreibung der ... Erfindung ...: Chromgelb zu erzeugen, welches zum Färben der Kottone sehr
notwendig ist, indem dadurch die so beschwerliche und kostspielige Manipulazion mit basischen
oder saurem chromsaueren Kaly ganz umgangen werden kann"	Gelb, Kattun, Färben/Kattun	Prag	1832	22.09.1832	50.0755381	14.4378005
